,App ID,Name,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU
0,10,Counter-Strike,Action,"Multi-player, Valve Anti-Cheat enabled, Online PvP, Shared/Split Screen PvP, PvP",15000000.0,201215,5199,999,999,0,13990
3,1000030,"Cook, Serve, Delicious! 3?!","Action, Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",150000.0,1575,115,1999,1999,0,76
5,1000080,Zengeon,"Action, Adventure, Indie, RPG","Multi-player, Single-player, Steam Achievements, Full controller support, Steam Trading Cards",150000.0,1018,462,799,1999,60,3
7,1000110,Jumping Master(跳跳大咖),"Action, Adventure, Casual, Free to Play, Massively Multiplayer","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",35000.0,50,34,0,0,0,0
10,1000310,人气动漫大乱斗,"Action, RPG, Strategy","Multi-player, Single-player, In-App Purchases, Online PvP, PvP",10000.0,1,5,99,99,0,0
11,1000360,Hellish Quart,"Action, Early Access","Multi-player, Single-player, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, PvP",350000.0,4031,315,1699,1699,0,59
17,1000500,The Undisputables : Online Multiplayer Shooter,"Action, Casual, Indie, Massively Multiplayer","Multi-player, Single-player, Co-op, Steam Achievements, Steam Leaderboards, Cross-Platform Multiplayer, Full controller support, Online PvP, Online Co-op, PvP",150000.0,9,3,699,699,0,0
19,1000540,Tactical Control,"Casual, Free to Play, Indie, Strategy","Multi-player, Stats, Steam Achievements, Online PvP, PvP",35000.0,53,12,0,0,0,0
27,1000810,RogueCraft Squadron,"Indie, Strategy","Multi-player, Single-player, Co-op, Online PvP, Online Co-op, PvP",10000.0,5,1,1499,1499,0,0
29,1000860,Allspace,"Action, Massively Multiplayer, Simulation","Multi-player, Full controller support, Online PvP, PvP",10000.0,40,19,499,499,0,0
36,1001040,Glorious Companions,"RPG, Strategy, Early Access","Multi-player, Single-player, Online PvP, Shared/Split Screen PvP, PvP",10000.0,66,39,1999,1999,0,0
58,1001740,Diamonds,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,4,0,499,499,0,0
63,1001870,RoboVirus,"Action, Casual, Indie","Multi-player, Single-player, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,29,1,999,999,0,0
69,1001980,Archeo: Shinar,"Indie, Simulation, Strategy","Multi-player, Single-player, Steam Achievements, Steam Cloud, Steam Trading Cards, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,80,21,1299,1299,0,0
71,1002,Rag Doll Kung Fu,Indie,"Multi-player, Single-player",35000.0,58,25,99,99,0,0
72,1002000,SPITLINGS,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online Co-op, Shared/Split Screen Co-op, Remote Play Together",10000.0,29,4,1499,1499,0,0
76,1002180,AUSSIE BATTLER TANKS,"Action, Casual, Indie, Massively Multiplayer, Simulation","Multi-player, Online PvP, PvP",10000.0,6,3,99,99,0,0
79,1002230,War of Three Kingdoms,"Casual, Indie, Strategy","Multi-player, Single-player, In-App Purchases, Online PvP, PvP",10000.0,7,20,0,0,0,0
96,1002580,Cell Defender,"Adventure, Casual, Indie","Multi-player, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,3,1,399,399,0,0
100,1002650,Puttin' Around,"Casual, Indie, Sports, Early Access","Multi-player, Stats, Includes level editor, Steam Achievements, Cross-Platform Multiplayer, Steam Workshop, Online PvP, PvP",10000.0,4,3,499,499,0,0
106,1002850,古战三国 Ancient War: Three Kingdoms,"Free to Play, Indie, RPG, Simulation, Strategy, Early Access","Multi-player, Single-player, In-App Purchases, Online PvP, PvP",75000.0,74,45,0,0,0,0
108,1002890,Galaxity,"Free to Play, Indie, Massively Multiplayer, Early Access","Multi-player, Co-op, MMO, Cross-Platform Multiplayer, Online PvP, Online Co-op, PvP",35000.0,14,3,0,0,0,0
111,1002930,War of Tanks: Blitzkrieg,"Free to Play, RPG, Strategy","Multi-player, Co-op, MMO, In-App Purchases, Online PvP, PvP",75000.0,92,65,0,0,0,32
116,1003000,Punishment Darkness Online,"Action, Adventure, Massively Multiplayer, RPG","Multi-player, Single-player, Co-op, MMO, Online Co-op",10000.0,4,4,0,0,0,0
123,1003190,Alpacapaca Double Dash,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Full controller support, Shared/Split Screen Co-op, Remote Play Together",10000.0,16,2,599,599,0,0
128,1003400,The Lord of the Rings: Journeys in Middle-earth,"Adventure, RPG, Strategy","Multi-player, Single-player, Co-op, Steam Cloud, Shared/Split Screen, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",150000.0,535,57,0,0,0,19
130,1003480,Fireboy & Watergirl: Elements,Action,"Multi-player, Single-player, Steam Achievements, Shared/Split Screen, Remote Play Together",35000.0,471,57,99,99,0,8
135,1003590,Tetris Effect: Connected,"Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Cross-Platform Multiplayer, Full controller support, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, PvP",150000.0,4168,178,3999,3999,0,113
139,1003690,CrossTrix,"Casual, Indie, Strategy","Multi-player, Single-player, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,1,0,999,999,0,0
146,1003940,Invasion Zero,"Action, Free to Play, Indie, Massively Multiplayer","Multi-player, Partial Controller Support, Cross-Platform Multiplayer, In-App Purchases, Online PvP, PvP",10000.0,15,18,0,0,0,0
152,1004100,Chaos Caves,"Action, Indie","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,2,3,599,599,0,0
167,1004490,Tools Up!,"Action, Adventure, Casual, Indie, Simulation","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Steam Trading Cards, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",35000.0,629,205,599,1999,70,17
175,1004620,KungFu Kickball,"Action, Indie, Sports","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Online PvP, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,43,9,1999,1999,0,0
177,1004710,POCKET CAR : VRGROUND,"Free to Play, Indie, Massively Multiplayer, Racing, Simulation, Sports, Strategy","Multi-player, Online PvP, PvP",10000.0,5,12,0,0,0,0
179,1004750,WRC 8 FIA World Rally Championship,"Racing, Simulation, Sports","Multi-player, Single-player, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",35000.0,686,253,599,2999,80,26
180,1004770,Maiden and Spell,"Action, Indie","Multi-player, Single-player, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, PvP",35000.0,541,9,1299,1299,0,0
191,1005300,The Jackbox Party Pack 6,"Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",350000.0,2301,112,2999,2999,0,54
192,1005310,Snake vs Snake,"Action, Casual, Indie","Multi-player, Single-player, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,24,0,399,399,0,0
193,1005340,Myths and Legends - Card Game,"Casual, Free to Play, Indie, Strategy, Early Access","Multi-player, Cross-Platform Multiplayer, Online PvP, PvP",75000.0,304,198,0,0,0,3
195,1005400,Star Drift Evolution,Racing,"Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Full controller support, Steam Trading Cards, Online PvP, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,192,10,1499,1499,0,0
202,1005580,Agricola Revised Edition,"Casual, Strategy","Multi-player, Single-player, Steam Achievements",10000.0,70,67,0,0,0,4
206,1005820,Chishiki Runner,"Casual, Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,0,1,499,499,0,0
207,1005870,HYPERFIGHT,"Action, Free to Play, Indie","Multi-player, Single-player, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",75000.0,745,82,0,0,0,1
212,1005930,Timeflow – Life Sim,"Indie, RPG, Simulation, Strategy, Early Access","Multi-player, Single-player, Steam Achievements, Steam Cloud, Shared/Split Screen, In-App Purchases, Shared/Split Screen PvP, Remote Play Together, PvP",75000.0,1270,74,999,999,0,17
215,1006120,Tetsumo Party,"Action, Casual, Indie, Sports","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play on TV, Remote Play Together, PvP",10000.0,11,2,149,499,70,0
217,1006150,Urban Justice,"Action, Adventure, Casual, Indie","Multi-player, Single-player, Co-op, Stats, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Remote Play Together",10000.0,16,13,199,199,0,0
230,1006470,The Legacy of Music,"Action, Casual, Indie","Multi-player, Single-player, Partial Controller Support, Steam Cloud, Online PvP, PvP",10000.0,1,5,499,499,0,0
232,1006680,Expanse,"Indie, Massively Multiplayer, Strategy","Multi-player, Single-player, Steam Achievements, Steam Leaderboards, Online PvP, PvP",10000.0,3,5,699,699,0,0
235,1006730,Cantrip Cafe,Casual,"Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,6,0,0,0,0,0
238,1006800,汉末求生  Survival in Three kingdoms,"Indie, Strategy, Early Access","Multi-player, Cross-Platform Multiplayer, Online PvP, PvP",10000.0,40,8,999,999,0,0
245,1007040,EARTH DEFENSE FORCE 5,Action,"Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Steam Trading Cards, Online PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",750000.0,6686,372,5999,5999,0,659
247,1007070,BorderStrain,"Action, Indie, RPG","Multi-player, Single-player, Co-op, Includes level editor, Steam Leaderboards, Online Co-op",10000.0,7,3,599,599,0,0
249,1007140,Future Aero Racing S Ultra,"Indie, Racing, Simulation, Sports","Multi-player, Single-player, Stats, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,9,4,399,399,0,0
250,1007180,Retromancer,"Action, Indie","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Leaderboards, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,6,0,299,299,0,0
251,1007200,Mutagen Extinction,"Action, Adventure, Indie, RPG","Multi-player, Single-player, Online PvP, PvP",10000.0,5,4,499,499,0,0
260,1007430,SixCubes,"Action, Adventure, Casual, Indie, Massively Multiplayer","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,15,4,199,199,0,0
262,1007490,Gladiator: Blades of Fury,"Action, Adventure, Indie","Multi-player, Single-player, Partial Controller Support, Steam Achievements, Shared/Split Screen, Remote Play Together",10000.0,4,6,999,999,0,0
267,1007740,Refight:The Last Warship,"Free to Play, Massively Multiplayer, Strategy","Multi-player, In-App Purchases, Online PvP, PvP",75000.0,196,104,0,0,0,0
276,1007950,Birchian Flight Simulator,"Indie, Simulation, Early Access","Multi-player, Single-player, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,7,11,499,499,0,0
277,1007970,This Side (Early Access Game),"Action, Adventure, Indie, Early Access","Multi-player, Co-op, Online Co-op",10000.0,0,12,999,999,0,0
280,1008000,Aetheria Online,"Adventure, Free to Play, Indie, Massively Multiplayer, RPG","Multi-player, Co-op, MMO, Online PvP, Online Co-op, PvP",10000.0,59,27,0,0,0,0
281,1008010,Spykebots,"Action, Indie, Sports","Multi-player, Single-player, Co-op, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,8,1,1099,1099,0,0
296,1008580,Overstep,"Action, Free to Play, Indie, Early Access","Multi-player, In-App Purchases, Online PvP, PvP",150000.0,358,149,0,0,0,2
301,1008700,Golf Pool VR,"Casual, Indie, Simulation, Sports","Multi-player, Single-player, Steam Achievements, Steam Leaderboards, Online PvP, PvP",10000.0,15,5,499,999,50,0
304,1008800,Shards of Infinity,Strategy,"Multi-player, Single-player, Shared/Split Screen, Cross-Platform Multiplayer, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,107,15,559,799,30,5
305,1008820,LOTUS Minigames: United Nations,"Casual, Indie","Multi-player, Steam Achievements, Online PvP, PvP",10000.0,10,2,399,399,0,0
314,10090,Call of Duty: World at War,Action,"Multi-player, Single-player, Co-op",3500000.0,39281,3493,1999,1999,0,522
316,1009040,Last Days Motel,"Adventure, Free to Play, RPG, Simulation, Strategy, Early Access","Multi-player, Single-player, Online PvP, PvP",35000.0,47,63,0,0,0,0
319,1009180,Block of Rum,"Action, Adventure, Indie, Early Access","Multi-player, Single-player, Includes level editor, Steam Cloud, Shared/Split Screen, Steam Workshop, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,23,10,199,199,0,0
323,1009290,SWORD ART ONLINE Alicization Lycoris,"Action, Adventure, RPG","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Steam Leaderboards, Full controller support, Online Co-op, Remote Play on Tablet",150000.0,3664,2256,5999,5999,0,239
344,1009940,Rival Nation Wars,"Indie, Strategy","Multi-player, Single-player, Partial Controller Support, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,1,2,499,499,0,0
348,1010000,Super Alpaca Bros.,"Action, Casual, Indie","Multi-player, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,4,0,99,99,0,0
354,1010230,Bleep Bloop,"Casual, Indie","Multi-player, Single-player, Co-op, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, PvP",10000.0,41,5,399,399,0,0
357,1010270,Nether: The Untold Chapter,"Action, Adventure, Massively Multiplayer","Multi-player, Single-player, MMO, Steam Achievements, Online PvP, PvP",10000.0,150,114,1499,1499,0,1
362,1010420,Crash-Site: Conquest,"Action, Casual, Indie, Massively Multiplayer","Multi-player, Online PvP, PvP",10000.0,2,0,499,499,0,0
377,1010750,Blood Fresh Supply,Action,"Multi-player, Single-player, Co-op, Steam Achievements",350000.0,5036,231,999,999,0,51
381,1010840,VR Party Pack,"Casual, Indie, Racing, Simulation, Sports, Strategy, Early Access","Multi-player, Single-player, Co-op, Shared/Split Screen PvP, Shared/Split Screen Co-op, PvP",10000.0,5,5,499,499,0,0
383,1010860,Hide and Seek,"Action, Casual, Indie, Massively Multiplayer, RPG","Multi-player, Single-player, Co-op, Partial Controller Support, Shared/Split Screen, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, LAN PvP, LAN Co-op, PvP",75000.0,447,280,99,99,0,0
401,1011290,Hotel R'n'R,"Action, Adventure, Indie, Simulation","Multi-player, Single-player, Steam Achievements, Steam Cloud, Shared/Split Screen PvP, PvP",10000.0,137,17,1999,1999,0,3
402,1011300,UNI,"Action, Casual, Indie","Multi-player, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",75000.0,230,159,99,499,80,0
405,1011390,Field of Glory: Empires,Strategy,"Multi-player, Single-player, Steam Achievements, Steam Cloud",35000.0,605,125,3999,3999,0,32
412,1011610,Radio General,"Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Includes level editor, Steam Achievements, Steam Cloud, Steam Workshop, Online Co-op",35000.0,340,57,1999,1999,0,1
414,1011630,Border Force,"Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Online PvP, Online Co-op, PvP",35000.0,30,49,999,999,0,0
416,1011670,Totally Reliable Delivery Service,"Action, Adventure, Casual, Indie, Racing, Simulation","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Online Co-op, Shared/Split Screen Co-op, Remote Play Together",75000.0,604,141,1499,1499,0,29
423,1011870,超级岛屿生存 Surper Island Survival,"Action, Adventure, Casual, Indie, Simulation","Multi-player, Single-player, Co-op, Partial Controller Support, Steam Cloud, Online Co-op",10000.0,5,3,599,599,0,0
425,1011960,Arena of Shaelo,"Casual, Indie, Strategy","Multi-player, Co-op, Captions available, Partial Controller Support, Shared/Split Screen, Remote Play Together",10000.0,4,3,0,0,0,0
439,1012410,Extraction Valley,"Action, Indie","Multi-player, Online PvP, PvP",10000.0,42,21,0,0,0,0
440,1012430,Furs of Fury,"Action, Adventure, Indie, RPG, Strategy","Multi-player, Single-player, Co-op, Includes level editor, Partial Controller Support, Online PvP, Online Co-op, PvP",10000.0,5,1,0,0,0,0
441,1012450,HopSquash!,Indie,"Multi-player, Includes level editor, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,11,0,499,499,0,0
443,1012490,Time to Fight,"Action, Casual, Indie","Multi-player, Single-player, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,3,1,0,0,0,0
445,1012530,Soccering,"Casual, Indie, Sports","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",10000.0,22,2,44,99,56,0
446,1012560,Snakeybus,"Action, Casual, Indie","Multi-player, Single-player, Steam Achievements, Steam Cloud, Online PvP, PvP",150000.0,1773,138,999,999,0,8
453,1012710,Endzeit,"Action, Early Access","Multi-player, Single-player, Co-op, Stats, Full controller support",10000.0,0,1,499,499,0,0
455,1012730,九劫曲:诅咒之地 NineTrials Test Server,"Action, Free to Play, Massively Multiplayer","Multi-player, Online PvP, PvP",75000.0,147,129,0,0,0,0
464,1012990,mini PVP,"Action, Casual, Indie","Multi-player, Cross-Platform Multiplayer, Online PvP, PvP",10000.0,13,2,499,499,0,0
465,10130,TimeShift,Action,"Multi-player, Single-player",150000.0,879,238,1999,1999,0,5
467,1013040,Planetoid Pioneers Online,"Action, Indie, Racing, Sports, Early Access","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, PvP",35000.0,72,81,999,999,0,0
468,1013070,Estellium Legends,RPG,"Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Shared/Split Screen Co-op, Remote Play Together",10000.0,5,4,499,499,0,0
475,1013220,River City Saga: Three Kingdoms,Action,"Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Steam Cloud, Shared/Split Screen, Online Co-op, Shared/Split Screen Co-op, Remote Play Together",10000.0,107,32,2999,2999,0,5
477,1013290,Beat Your Meat,"Action, Early Access","Multi-player, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,3,0,1399,1399,0,0
479,1013320,Firestone Idle RPG,"Action, Adventure, Casual, Free to Play, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Early Access","Multi-player, Single-player, Co-op, Stats, MMO, Steam Achievements, Steam Cloud, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases, Online PvP, Online Co-op, Remote Play on Phone, Remote Play on Tablet, PvP",350000.0,3479,879,0,0,0,1379
480,1013340,brainCloud Bombers,"Action, Casual, Free to Play","Multi-player, Single-player, Co-op, Partial Controller Support, Cross-Platform Multiplayer, In-App Purchases, Online PvP, Online Co-op, PvP",10000.0,9,6,0,0,0,0
493,1013680,Saint Paul Pre-Alpha,"Action, Adventure, Free to Play, Indie","Multi-player, Online PvP, PvP",35000.0,81,30,0,0,0,0
507,1013970,Suwarudo,"Action, Casual, Indie, Early Access","Multi-player, Single-player, Partial Controller Support, Shared/Split Screen, Remote Play Together",10000.0,2,2,0,0,0,0
521,1014310,Top Torch,Indie,"Multi-player, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,1,0,99,99,0,0
542,1014810,Happy Words,"Casual, Indie, Strategy","Multi-player, Single-player, Stats, Steam Achievements, Shared/Split Screen, Steam Leaderboards, Full controller support, Online PvP, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,48,57,499,499,0,4
549,1014920,Favor Chess,Strategy,"Multi-player, Single-player, Includes level editor, In-App Purchases, Online PvP, PvP",10000.0,27,12,0,0,0,1
558,1015140,10 Miles To Safety,"Action, Indie, Strategy","Multi-player, Single-player, Co-op, Full controller support, Online Co-op",75000.0,636,220,999,999,0,5
568,1015500,WWE 2K20,"Simulation, Sports","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",350000.0,2503,3375,0,0,0,39
573,1015610,THE LAST PLAYER:VR Battle Royale,"Action, Massively Multiplayer, Early Access","Multi-player, Single-player, Co-op, MMO, Cross-Platform Multiplayer, Online PvP, Online Co-op, PvP",10000.0,196,61,1999,1999,0,1
588,1015930,Blood Rage: Digital Edition,Strategy,"Multi-player, Single-player, Shared/Split Screen, Online PvP, Shared/Split Screen PvP, PvP",75000.0,364,329,1999,1999,0,10
592,1016030,Wawa United,"Action, Adventure, Casual, Indie, Early Access","Multi-player, Single-player, Co-op, Full controller support, Online Co-op",10000.0,2,0,990,990,0,0
595,1016120,PGA TOUR 2K21,"Simulation, Sports","Multi-player, Single-player, Co-op, Includes level editor, Steam Achievements, Shared/Split Screen, Full controller support, Steam Turn Notifications, In-App Purchases, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",350000.0,5809,1120,5999,5999,0,546
596,1016180,Terror of Hemasaurus,"Action, Adventure","Multi-player, Single-player, Co-op, Stats, Steam Achievements, Shared/Split Screen, Steam Leaderboards, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",35000.0,259,13,1299,1299,0,6
598,1016260,Magic Combat VR,"Action, Free to Play, Indie","Multi-player, Online PvP, PvP",10000.0,7,0,0,0,0,0
608,1016660,Age Of Omens,"Action, Adventure, RPG, Early Access","Multi-player, Single-player, Co-op, Full controller support, Online Co-op",10000.0,7,1,1599,1599,0,0
609,1016690,DUST-UP,"Action, Indie, Simulation, Sports, Early Access","Multi-player, Single-player, Partial Controller Support, Steam Achievements, Shared/Split Screen, Shared/Split Screen PvP, Remote Play Together, PvP",10000.0,3,1,999,999,0,0
614,1016740,God Monster,"Action, RPG","Multi-player, Single-player, In-App Purchases",10000.0,1,4,399,399,0,0
625,1016920,Unrailed!,"Action, Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Steam Leaderboards, Cross-Platform Multiplayer, Full controller support, Steam Trading Cards, Online PvP, Shared/Split Screen PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, PvP",750000.0,13115,939,1999,1999,0,258
627,1016940,The Otterman Empire,"Action, Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Online PvP, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,21,6,1599,1599,0,0
632,1017080,RWBY Deckbuilding Game,Strategy,"Multi-player, Single-player, In-App Purchases, Online PvP, PvP",75000.0,132,61,0,0,0,0
644,1017480,WarGround,"Casual, Free to Play, Indie, Strategy","Multi-player, Online PvP, PvP",10000.0,11,9,0,0,0,0
645,1017490,Mortadelo y Filemón: La banda de Corvino,Adventure,"Multi-player, Single-player, Co-op, Shared/Split Screen Co-op, Remote Play Together",10000.0,3,0,1199,1199,0,0
646,1017560,Falling Bullets,"Action, Casual, Indie, Massively Multiplayer, Strategy","Multi-player, Partial Controller Support, Steam Cloud",10000.0,11,6,99,99,0,0
656,1017800,AirShock,"Action, Indie, Strategy","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Remote Play Together",10000.0,2,6,299,299,0,0
659,1017900,Age of Empires: Definitive Edition,Strategy,"Multi-player, Single-player, Includes level editor, Steam Achievements, Steam Cloud, Cross-Platform Multiplayer, Steam Trading Cards, Online PvP, LAN PvP, PvP",750000.0,8441,1608,1999,1999,0,758
661,10180,Call of Duty: Modern Warfare 2 (2009),Action,"Multi-player, Single-player, Valve Anti-Cheat enabled, Co-op, Steam Achievements, Steam Cloud",7500000.0,45374,3308,1999,1999,0,730
662,1018000,Anniversary Collection Arcade Classics,"Action, Casual","Multi-player, Single-player, Partial Controller Support, Steam Achievements, Shared/Split Screen PvP, Remote Play Together, PvP",75000.0,159,94,1999,1999,0,1
663,1018010,Castlevania Anniversary Collection,"Action, Adventure, Racing, RPG, Simulation, Sports","Multi-player, Single-player, Partial Controller Support",150000.0,909,204,1999,1999,0,47
664,1018020,Contra Anniversary Collection,Action,"Multi-player, Single-player, Partial Controller Support, Steam Achievements, Shared/Split Screen PvP, Remote Play Together, PvP",75000.0,533,164,1999,1999,0,2
668,1018110,DEAD,"Action, Adventure, Indie, Early Access","Multi-player, Single-player, MMO, Online PvP, PvP",10000.0,2,1,1399,1399,0,0
670,1018160,MXGP 2019 - The Official Motocross Videogame,"Racing, Simulation, Sports","Multi-player, Single-player, Steam Achievements, Steam Cloud, Full controller support, Online PvP, PvP",35000.0,888,93,2999,2999,0,21
672,1018240,Hooklings,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,5,0,599,599,0,0
676,1018560,Emoji Charades,"Casual, Indie","Multi-player, Co-op, Shared/Split Screen, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,8,0,999,999,0,0
679,1018700,Kabitis 2: Fire Sword,Adventure,"Multi-player, Single-player, Co-op, Partial Controller Support, Steam Achievements, Shared/Split Screen, Shared/Split Screen Co-op, Remote Play Together",10000.0,0,3,499,499,0,0
