,App ID,Name,Genre,Categories,Owners,Positive Reviews,Negative Reviews,Price,Initial Price,Discount,CCU
19520,1651950,En Route: Space,"Adventure, Indie","Multi-player, Co-op, Online Co-op",10000.0,27,8,699,699,0,0
19525,1652090,Key: Maze of Illusions,"Action, Adventure, Indie, RPG, Strategy","Multi-player, Single-player, Co-op, Shared/Split Screen, Shared/Split Screen PvP, Shared/Split Screen Co-op, PvP",10000.0,3,1,399,399,0,0
19562,1653790,Sisters of Silent Liberty Online Multiplayer Shooter REBRANDED,"Action, Adventure, Massively Multiplayer, Strategy","Multi-player, Single-player, Co-op, Shared/Split Screen, Online PvP, Online Co-op, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,2,15,499,499,0,0
19566,1653980,Goblin Town,"Action, Adventure, Casual, Indie, Massively Multiplayer, Early Access","Multi-player, Co-op, Online Co-op",10000.0,8,6,699,699,0,0
19573,1654680,Red Wings: American Aces,"Action, Indie","Multi-player, Single-player, Co-op, Shared/Split Screen, Cross-Platform Multiplayer, Full controller support, Online PvP, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,7,2,1199,1199,0,0
19579,1654890,Sigma Impact,"Action, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Steam Cloud, Shared/Split Screen, Full controller support, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play on TV, Remote Play Together, PvP",10000.0,58,2,299,299,0,1
19582,1655050,The Fear Island,"Adventure, Indie, Simulation, Strategy","Multi-player, Single-player, Co-op, Online Co-op",35000.0,9,11,599,599,0,0
19586,1655220,Star Trek Prodigy: Supernova,"Action, Adventure","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Full controller support, Shared/Split Screen Co-op, Remote Play Together",10000.0,8,2,4999,4999,0,2
19601,1655880,Kings and Pigs,"Adventure, Casual, Indie","Multi-player, Single-player, Co-op, Steam Achievements, Shared/Split Screen, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",10000.0,18,12,999,999,0,0
19610,1656780,Hero's Hour,"RPG, Strategy","Multi-player, Single-player, Co-op, Stats, Includes level editor, Steam Achievements, Steam Cloud, Shared/Split Screen, Steam Workshop, Shared/Split Screen PvP, Shared/Split Screen Co-op, Remote Play Together, PvP",350000.0,2243,652,1799,1799,0,105
